"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.961951600E-1,4.393820465E-1,1.351047516E0,9.556783676E0,9.661806260E0
1.987558370E-1,4.176971018E-1,1.362712502E0,9.563813210E0,9.669435317E0
2.013161500E-1,3.846462369E-1,1.368545055E0,9.562915802E0,9.668000152E0
2.038762540E-1,3.595215976E-1,1.382303715E0,9.573234558E0,9.679196209E0
2.064365140E-1,3.376871049E-1,1.392024517E0,9.589685440E0,9.696073003E0
2.089972430E-1,3.115155995E-1,1.400698543E0,9.606434822E0,9.713011292E0
2.115582330E-1,2.862414122E-1,1.415653706E0,9.621390343E0,9.729191214E0
2.141193270E-1,2.596212626E-1,1.433599830E0,9.636794090E0,9.746302479E0
2.166801080E-1,2.340479642E-1,1.451845169E0,9.657731056E0,9.769053281E0
2.192407330E-1,2.047358900E-1,1.460818172E0,9.671489716E0,9.783333779E0
2.218014620E-1,1.876870245E-1,1.475025654E0,9.697063446E0,9.810400939E0
2.243625040E-1,1.778166294E-1,1.487587929E0,9.719495773E0,9.834283639E0
2.269236500E-1,1.739282906E-1,1.498654723E0,9.741629601E0,9.857766700E0
2.294846390E-1,1.755733639E-1,1.510917902E0,9.761071205E0,9.878876960E0
2.320455770E-1,1.866401732E-1,1.521685600E0,9.778269768E0,9.897723035E0
2.346065140E-1,2.036890239E-1,1.538435459E0,9.793374062E0,9.915565964E0
2.371674520E-1,2.189432681E-1,1.548604846E0,9.802198410E0,9.926187929E0
2.397282330E-1,2.551347017E-1,1.566251993E0,9.816255569E0,9.943697121E0
2.422889620E-1,2.967100143E-1,1.581805348E0,9.826126099E0,9.957052732E0
2.448497950E-1,3.426222801E-1,1.595414519E0,9.837342262E0,9.971762146E0
2.474108370E-1,3.973581195E-1,1.609920979E0,9.844820023E0,9.983497399E0
2.499724000E-1,4.573282301E-1,1.622782350E0,9.849157333E0,9.992420720E0
2.525338580E-1,5.219344497E-1,1.641177177E0,9.855438232E0,1.000477590E1
2.550953160E-1,5.859424472E-1,1.650599003E0,9.854092598E0,1.000854368E1
2.576571910E-1,6.601199508E-1,1.664955854E0,9.861569405E0,1.002289317E1
2.602187540E-1,7.325028181E-1,1.677667737E0,9.868299484E0,1.003665602E1
2.627797950E-1,8.077272177E-1,1.686640859E0,9.876524925E0,1.005201100E1
2.653408890E-1,8.786145449E-1,1.694417477E0,9.881609917E0,1.006425500E1
2.679021390E-1,9.478568435E-1,1.701446414E0,9.886096001E0,1.007612260E1
2.704634930E-1,1.020538807E0,1.710120440E0,9.890133858E0,1.008864506E1
2.730250040E-1,1.082004547E0,1.706082582E0,9.889236450E0,1.009348548E1
2.755866180E-1,1.149302602E0,1.706381679E0,9.892377853E0,1.010404743E1
2.781479720E-1,1.208375454E0,1.701895118E0,9.892826080E0,1.011061947E1
2.807093270E-1,1.264905930E0,1.695763469E0,9.895668030E0,1.011928093E1
2.832707330E-1,1.309621692E0,1.688136339E0,9.903144836E0,1.013100148E1
2.858321390E-1,1.351346612E0,1.686491251E0,9.912117958E0,1.014497279E1
2.883938580E-1,1.390379548E0,1.680210114E0,9.915258408E0,1.015227120E1
2.909558370E-1,1.412961721E0,1.670339704E0,9.908827782E0,1.014748065E1
2.935180250E-1,1.436441302E0,1.670339704E0,9.907033920E0,1.014902554E1
2.960803680E-1,1.452293754E0,1.667946935E0,9.905687332E0,1.014957367E1
2.986426600E-1,1.463958859E0,1.668545127E0,9.904491425E0,1.015018073E1
3.012047430E-1,1.467099428E0,1.668993831E0,9.896564484E0,1.014297342E1
3.037664620E-1,1.467697620E0,1.667348742E0,9.887143135E0,1.013359697E1
3.063278160E-1,1.460967779E0,1.670638919E0,9.874431610E0,1.012076385E1
3.088892750E-1,1.443470240E0,1.661964893E0,9.853942871E0,1.009682741E1
3.114508370E-1,1.432104349E0,1.658226132E0,9.839884758E0,1.008087143E1
3.140125040E-1,1.415055513E0,1.652543187E0,9.825228691E0,1.006322016E1
3.165741180E-1,1.397857070E0,1.647907019E0,9.810274124E0,1.004545073E1
3.191356290E-1,1.378116250E0,1.643869162E0,9.794870377E0,1.002701331E1
3.216974000E-1,1.353888988E0,1.638036609E0,9.781410217E0,1.000960365E1
3.242590660E-1,1.325474143E0,1.633101463E0,9.769894600E0,9.993735167E0
3.268201600E-1,1.286740422E0,1.617099404E0,9.748060226E0,9.964707200E0
3.293814620E-1,1.254138112E0,1.616501212E0,9.732955933E0,9.945670905E0
3.319432850E-1,1.211516023E0,1.616202116E0,9.715009689E0,9.922766430E0
3.345051600E-1,1.169492126E0,1.618295908E0,9.704092026E0,9.907370767E0
3.370666700E-1,1.128066301E0,1.622782350E0,9.692427635E0,9.891870885E0
3.396282330E-1,1.084696412E0,1.629213095E0,9.679864883E0,9.875762541E0
3.421901080E-1,1.039681435E0,1.637288928E0,9.666704178E0,9.859352016E0
3.447518270E-1,9.910772443E-1,1.642373681E0,9.650552750E0,9.839349256E0
3.473134930E-1,9.548857808E-1,1.655384660E0,9.645169258E0,9.832669792E0
3.498752640E-1,9.207880497E-1,1.669292927E0,9.635746956E0,9.822525587E0
3.524370870E-1,8.911768794E-1,1.676920056E0,9.622885704E0,9.808475232E0
3.549988060E-1,8.702396750E-1,1.683500290E0,9.609426498E0,9.794517239E0
3.575605250E-1,8.494520187E-1,1.689631939E0,9.588040352E0,9.772765351E0
3.601222430E-1,8.338986635E-1,1.690080523E0,9.564710617E0,9.748612637E0
3.626841180E-1,8.205885887E-1,1.686192155E0,9.537491798E0,9.720100793E0
3.652460450E-1,8.199903965E-1,1.684098482E0,9.517452240E0,9.700024180E0
3.678080250E-1,8.244769573E-1,1.680060625E0,9.495318413E0,9.677987276E0
3.703697950E-1,8.307580948E-1,1.674377680E0,9.473633766E0,9.656264100E0
