"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.951609950E-1,1.185344458E0,1.538734555E0,9.514162064E0,9.710408091E0
1.977206300E-1,1.189382434E0,1.519292831E0,9.540184021E0,9.733344360E0
2.002804740E-1,1.195513964E0,1.497607827E0,9.570243835E0,9.760207473E0
2.028405260E-1,1.203290701E0,1.478614807E0,9.601499557E0,9.788922515E0
2.054005780E-1,1.210319638E0,1.462313771E0,9.638439178E0,9.823581067E0
2.079606300E-1,1.218993545E0,1.452891946E0,9.671041489E0,9.855246508E0
2.105205780E-1,1.229013562E0,1.439880967E0,9.709177017E0,9.892009396E0
2.130804740E-1,1.230957747E0,1.421785355E0,9.747612000E0,9.927369755E0
2.156402130E-1,1.243819118E0,1.409671664E0,9.799506187E0,9.978205335E0
2.182001610E-1,1.257428288E0,1.401595831E0,9.857083321E0,1.003532204E1
2.207602650E-1,1.271934748E0,1.397109270E0,9.917053223E0,1.009542852E1
2.233200570E-1,1.282253861E0,1.398156166E0,9.981659889E0,1.016034201E1
2.258797970E-1,1.291526079E0,1.401446342E0,1.004791069E1,1.022705240E1
2.284395880E-1,1.297358513E0,1.416550994E0,1.011790085E1,1.029862483E1
2.309992760E-1,1.290778279E0,1.427617788E0,1.018190861E1,1.036221328E1
2.335588590E-1,1.288834095E0,1.448405504E0,1.025623608E1,1.043788055E1
2.361184950E-1,1.280160069E0,1.471436381E0,1.033086205E1,1.051335557E1
2.386782340E-1,1.265354514E0,1.496411443E0,1.040339470E1,1.058635870E1
2.412379740E-1,1.247856975E0,1.518545032E0,1.046949673E1,1.065239352E1
2.437976610E-1,1.230359435E0,1.535593987E0,1.052976513E1,1.071203934E1
2.463571400E-1,1.210319638E0,1.555484295E0,1.057792091E1,1.075996356E1
2.489167240E-1,1.181007504E0,1.565952897E0,1.061082268E1,1.079057668E1
2.514763590E-1,1.159322619E0,1.583749533E0,1.064342499E1,1.082288256E1
2.540359430E-1,1.135693431E0,1.594666719E0,1.066481018E1,1.084301331E1
2.565951090E-1,1.115055323E0,1.606630802E0,1.067647552E1,1.085411169E1
2.591541200E-1,1.094865918E0,1.617398500E0,1.067976570E1,1.085689204E1
2.617135470E-1,1.077218890E0,1.622034669E0,1.067782116E1,1.085390537E1
2.642725570E-1,1.066750288E0,1.623978853E0,1.066914749E1,1.084462870E1
2.668311510E-1,1.050598741E0,1.613809347E0,1.064985561E1,1.082254882E1
