"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.371238030E-1,2.150698900E0,9.660273552E0,-1.376321673E0,9.992029434E0
7.396842190E-1,2.147558212E0,9.648757935E0,-1.379163146E0,9.980612553E0
7.422446880E-1,2.151147604E0,9.645019531E0,-1.370489120E0,9.976576477E0
7.448053650E-1,2.154288054E0,9.641879082E0,-1.360469222E0,9.972846422E0
7.473659380E-1,2.154886246E0,9.636794090E0,-1.351496100E0,9.966838856E0
7.499259380E-1,2.157877445E0,9.634999275E0,-1.345962763E0,9.965001850E0
7.524855210E-1,2.160569191E0,9.635896683E0,-1.343420386E0,9.966109695E0
7.550451570E-1,2.160718918E0,9.636794090E0,-1.338634729E0,9.966365913E0
7.576050530E-1,2.156381845E0,9.628269196E0,-1.343719482E0,9.957867865E0
7.601650530E-1,2.156381845E0,9.627073288E0,-1.339532018E0,9.956147286E0
7.627253130E-1,2.156531334E0,9.626175880E0,-1.338186026E0,9.955130904E0
7.652855210E-1,2.156681061E0,9.630213737E0,-1.334447265E0,9.958566128E0
7.678455730E-1,2.157129526E0,9.636345863E0,-1.328614831E0,9.963813866E0
7.704060420E-1,2.157578230E0,9.644271851E0,-1.325773239E0,9.971198425E0
7.729669280E-1,2.155634165E0,9.651300430E0,-1.323230863E0,9.977239025E0
7.755278650E-1,2.149502516E0,9.652945518E0,-1.327867031E0,9.978123526E0
7.780889070E-1,2.143221378E0,9.658329964E0,-1.328016520E0,9.982001976E0
7.806497400E-1,2.135444641E0,9.660722733E0,-1.325773239E0,9.982352539E0
7.832101570E-1,2.128714800E0,9.667601585E0,-1.318744421E0,9.986642777E0
7.857704170E-1,2.123031855E0,9.673882484E0,-1.314856052E0,9.991001602E0
7.883307300E-1,2.113311052E0,9.674630165E0,-1.316202044E0,9.989841853E0
7.908912510E-1,2.107478619E0,9.675527573E0,-1.317248821E0,9.989616829E0
7.934519280E-1,2.097757816E0,9.671789169E0,-1.320239902E0,9.984344094E0
7.960123440E-1,2.090728760E0,9.674779892E0,-1.316501141E0,9.985273554E0
7.985726570E-1,2.087139606E0,9.679864883E0,-1.315603852E0,9.989331779E0
8.011331780E-1,2.083998919E0,9.681958199E0,-1.314706445E0,9.990586524E0
8.036936460E-1,2.083849430E0,9.684052467E0,-1.316202044E0,9.992781818E0
8.062540630E-1,2.083998919E0,9.685996056E0,-1.319791198E0,9.995169828E0
8.088147920E-1,2.083998919E0,9.683005333E0,-1.322782278E0,9.992667148E0
8.113756260E-1,2.077269077E0,9.673583984E0,-1.329811215E0,9.983069257E0
8.139361980E-1,2.077568293E0,9.669096947E0,-1.329811215E0,9.978783676E0
8.164967190E-1,2.078016996E0,9.665358543E0,-1.327119231E0,9.974896283E0
8.190571360E-1,2.078465462E0,9.664610863E0,-1.322483182E0,9.973649461E0
8.216173960E-1,2.076670885E0,9.664012909E0,-1.325324655E0,9.973073393E0
8.241777090E-1,2.079961061E0,9.658778191E0,-1.325324655E0,9.968686954E0
8.267379690E-1,2.085345030E0,9.654440880E0,-1.325175047E0,9.965589872E0
8.292982300E-1,2.083251238E0,9.643822670E0,-1.327119231E0,9.955124151E0
8.318585940E-1,2.089981079E0,9.640682220E0,-1.322632670E0,9.952895647E0
8.344188550E-1,2.096112728E0,9.640383720E0,-1.323380470E0,9.953995314E0
8.369793760E-1,2.101496458E0,9.640383720E0,-1.326221943E0,9.955508540E0
8.395401050E-1,2.106431723E0,9.640383720E0,-1.331157088E0,9.957210055E0
