"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.892710940E-1,2.136042833E0,9.951150894E0,-1.203290701E0,1.024870683E1
1.918320320E-1,2.153241158E0,9.974481583E0,-1.213908792E0,1.027620090E1
1.943930730E-1,2.170738697E0,9.992726326E0,-1.223181009E0,1.029868233E1
1.969540630E-1,2.186292171E0,1.000394249E1,-1.236042500E0,1.031438509E1
1.995148960E-1,2.202294111E0,1.001142025E1,-1.254287720E0,1.032723934E1
2.020758860E-1,2.211865425E0,9.999156952E0,-1.272233844E0,1.031959628E1
2.046368230E-1,2.226521492E0,9.990034103E0,-1.279412389E0,1.031479885E1
2.071972920E-1,2.237139702E0,9.979565620E0,-1.283151150E0,1.030742455E1
2.097575010E-1,2.244019032E0,9.963563919E0,-1.283898950E0,1.029352340E1
2.123178650E-1,2.252692938E0,9.942327499E0,-1.281954765E0,1.027462455E1
2.148784900E-1,2.257927179E0,9.919147491E0,-1.277916789E0,1.025284319E1
2.174391150E-1,2.262563467E0,9.896564484E0,-1.274028540E0,1.023153609E1
2.199996360E-1,2.257478714E0,9.862766266E0,-1.270439267E0,1.019727339E1
2.225602610E-1,2.261666059E0,9.834650993E0,-1.263559937E0,1.017015621E1
2.251207820E-1,2.265404940E0,9.807881355E0,-1.257278800E0,1.014432581E1
2.276814070E-1,2.263909340E0,9.786793709E0,-1.249202967E0,1.012260464E1
2.302421360E-1,2.260469675E0,9.773484230E0,-1.237388372E0,1.010751439E1
2.328028130E-1,2.260020971E0,9.764211655E0,-1.224377394E0,1.009686209E1
2.353631780E-1,2.254936218E0,9.756135941E0,-1.215404391E0,1.008682971E1
2.379233860E-1,2.243570328E0,9.744770050E0,-1.211964726E0,1.007288487E1
2.404838550E-1,2.235045910E0,9.738638878E0,-1.207478166E0,1.006451792E1
2.430441150E-1,2.227717876E0,9.730861664E0,-1.203440189E0,1.005488259E1
2.456041670E-1,2.219043970E0,9.729066849E0,-1.204487085E0,1.005135250E1
2.481639590E-1,2.209323168E0,9.720542908E0,-1.210170031E0,1.004164204E1
2.507237510E-1,2.198405743E0,9.715457916E0,-1.214955688E0,1.003490048E1
2.532839590E-1,2.186591148E0,9.711270332E0,-1.223928809E0,1.002935462E1
2.558446360E-1,2.162214279E0,9.700652122E0,-1.240977645E0,1.001587978E1
2.584054690E-1,2.144716740E0,9.692726135E0,-1.249651670E0,1.000551743E1
2.609660940E-1,2.127219439E0,9.683603287E0,-1.254736423E0,9.993577870E0
2.635265630E-1,2.109572172E0,9.675827026E0,-1.256531000E0,9.982524408E0
2.660871360E-1,2.094317913E0,9.666704178E0,-1.260568857E0,9.970976433E0
2.686477090E-1,2.078615189E0,9.658778191E0,-1.259073377E0,9.959814406E0
2.712080730E-1,2.065006018E0,9.649655342E0,-1.262363553E0,9.948550639E0
2.737684900E-1,2.046312094E0,9.632308006E0,-1.274626732E0,9.929422139E0
2.763288030E-1,2.033749580E0,9.628269196E0,-1.281506062E0,9.923807880E0
2.788890110E-1,2.022832394E0,9.617651939E0,-1.282552958E0,9.911408669E0
2.814490630E-1,2.013560295E0,9.608379364E0,-1.278664589E0,9.900018293E0
2.840089070E-1,2.007877350E0,9.600603104E0,-1.274925828E0,9.890833497E0
2.865687510E-1,2.005334854E0,9.593723297E0,-1.276570916E0,9.883851875E0
2.891290110E-1,2.000998020E0,9.587890625E0,-1.277767301E0,9.877465717E0
