"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.126055280E-1,1.256231815E-1,5.682953820E-2,9.825228691E0,9.826196091E0
2.151659970E-1,1.256231815E-1,5.727819353E-2,9.829116821E0,9.830086442E0
2.177266220E-1,1.307079345E-1,6.026922166E-2,9.832706451E0,9.833759866E0
2.202874030E-1,1.328016520E-1,6.311069429E-2,9.835846901E0,9.836945842E0
2.228481840E-1,1.371386498E-1,7.043872029E-2,9.841231346E0,9.842438876E0
2.254090180E-1,1.410269886E-1,7.686942816E-2,9.846016884E0,9.847326845E0
2.279701120E-1,1.446162164E-1,8.030910790E-2,9.850353241E0,9.851742098E0
2.305313620E-1,1.360917836E-1,7.402794808E-2,9.844820023E0,9.846038919E0
2.330925590E-1,1.396810263E-1,7.013961673E-2,9.846165657E0,9.847406181E0
2.356536010E-1,1.428215951E-1,6.430710852E-2,9.845269203E0,9.846515074E0
2.382141740E-1,1.410269886E-1,6.176473573E-2,9.846914291E0,9.848117818E0
2.407743300E-1,1.395314634E-1,5.967101455E-2,9.848409653E0,9.849578790E0
2.433344870E-1,1.360917836E-1,5.324030295E-2,9.849905014E0,9.850989001E0
2.458950070E-1,1.331007630E-1,4.277170449E-2,9.851400375E0,9.852392328E0
2.484555800E-1,1.235294715E-1,3.409772366E-2,9.845717430E0,9.846551371E0
2.510162570E-1,1.262213886E-1,3.514458239E-2,9.851848602E0,9.852719821E0
2.535767260E-1,1.263709515E-1,3.604188934E-2,9.857233047E0,9.858108946E0
2.561372470E-1,1.218844056E-1,3.708875179E-2,9.857382774E0,9.858206051E0
2.586979240E-1,1.179960668E-1,4.037888348E-2,9.857681274E0,9.858470147E0
2.612585490E-1,1.194915771E-1,4.351946339E-2,9.860373497E0,9.861193522E0
2.638191220E-1,1.185942739E-1,4.875376076E-2,9.865308762E0,9.866142027E0
2.663794340E-1,1.157527938E-1,4.651049152E-2,9.862766266E0,9.863555158E0
2.689395390E-1,1.218844056E-1,5.069793016E-2,9.871439934E0,9.872322546E0
2.714997470E-1,1.296610832E-1,5.697908998E-2,9.876974106E0,9.877989477E0
2.740599550E-1,1.342971772E-1,6.251249462E-2,9.874580383E0,9.875691434E0
2.766199550E-1,1.408774406E-1,6.266204268E-2,9.870244026E0,9.871448228E0
2.791803200E-1,1.443171203E-1,6.056832150E-2,9.869047165E0,9.870288136E0
2.817407890E-1,1.474576890E-1,5.653043464E-2,9.865608215E0,9.866872094E0
2.843009970E-1,1.410269886E-1,4.606183618E-2,9.855886459E0,9.857003003E0
2.868613620E-1,1.438684613E-1,4.561318085E-2,9.851100922E0,9.852257004E0
2.894216740E-1,1.467099339E-1,4.516452923E-2,9.847063065E0,9.848259472E0
2.919818820E-1,1.491027623E-1,4.501497746E-2,9.848558426E0,9.849789899E0
2.945421430E-1,1.491027623E-1,4.501497746E-2,9.849905014E0,9.851136319E0
2.971023510E-1,1.467099339E-1,4.755735025E-2,9.856036186E0,9.857242759E0
2.996621430E-1,1.423729509E-1,4.516452923E-2,9.859027863E0,9.860159242E0
3.022218300E-1,1.341476142E-1,4.082753509E-2,9.852447510E0,9.853445306E0
3.047818300E-1,1.307079345E-1,4.097708687E-2,9.852895737E0,9.853847882E0
3.073419340E-1,1.278664619E-1,4.127619043E-2,9.853493690E0,9.854409747E0
3.099021430E-1,1.256231815E-1,3.918246925E-2,9.851699829E0,9.852578646E0
3.124622990E-1,1.260718405E-1,3.753740340E-2,9.850203514E0,9.851081790E0
3.150220910E-1,1.289133132E-1,3.379862010E-2,9.851550102E0,9.852451492E0
3.175819870E-1,1.316052526E-1,3.305086121E-2,9.852746010E0,9.853680340E0
3.201420390E-1,1.247258782E-1,2.318046987E-2,9.846914291E0,9.847731462E0
3.227017780E-1,1.272682548E-1,2.078764699E-2,9.848110199E0,9.848954453E0
3.252613620E-1,1.296610832E-1,2.587239444E-2,9.849307060E0,9.850194462E0
3.278212570E-1,1.295115203E-1,3.290131316E-2,9.850353241E0,9.851259549E0
3.303814660E-1,1.295115203E-1,3.678964823E-2,9.856335640E0,9.857255143E0
3.329417260E-1,1.320538968E-1,4.037888348E-2,9.859176636E0,9.860143641E0
3.355020390E-1,1.319043487E-1,5.084748194E-2,9.857083321E0,9.858096967E0
3.380622470E-1,1.248754337E-1,4.830510542E-2,9.845867157E0,9.846777510E0
3.406222470E-1,1.275673509E-1,5.219344422E-2,9.844820023E0,9.845784827E0
3.431824550E-1,1.274178028E-1,5.593222752E-2,9.841679573E0,9.842663284E0
3.457427680E-1,1.275673509E-1,5.682953820E-2,9.841231346E0,9.842222180E0
3.483029240E-1,1.326521039E-1,5.533402413E-2,9.838837624E0,9.839887409E0
3.508628720E-1,1.347458214E-1,5.413761362E-2,9.834351540E0,9.835423607E0
3.534228720E-1,1.390828192E-1,5.324030295E-2,9.832856178E0,9.833983892E0
3.559827680E-1,1.359422356E-1,5.279165134E-2,9.824780464E0,9.825862732E0
3.585425070E-1,1.395314634E-1,5.862415582E-2,9.821490288E0,9.822656326E0
3.611023510E-1,1.428215951E-1,6.146563217E-2,9.818798065E0,9.820029098E0
3.636618820E-1,1.482054591E-1,6.400800496E-2,9.816555023E0,9.817882379E0
3.662216740E-1,1.529911011E-1,6.879365444E-2,9.819545746E0,9.820978439E0
3.687819340E-1,1.597209126E-1,6.834499538E-2,9.822237968E0,9.823774250E0
3.713421950E-1,1.609173268E-1,6.819544733E-2,9.822387695E0,9.823942439E0
3.739024030E-1,1.528415531E-1,6.340979785E-2,9.815507889E0,9.816902590E0
3.764625590E-1,1.517946869E-1,6.550352275E-2,9.811021805E0,9.812414646E0
3.790229240E-1,1.535893083E-1,6.744768471E-2,9.807282448E0,9.808716933E0
3.815831320E-1,1.528415531E-1,7.178468257E-2,9.806534767E0,9.807988465E0
3.841429760E-1,1.546361595E-1,7.313064486E-2,9.808329582E0,9.809821080E0
3.867029240E-1,1.564307809E-1,7.462615520E-2,9.812367439E0,9.813898023E0
3.892630800E-1,1.580758393E-1,7.597211748E-2,9.813713074E0,9.815280130E0
3.918233410E-1,1.526919901E-1,7.028916478E-2,9.810422897E0,9.811862863E0
3.943837050E-1,1.517946869E-1,7.387840003E-2,9.813713074E0,9.815164998E0
3.969440700E-1,1.534397453E-1,7.956135273E-2,9.819247246E0,9.820768312E0
3.995041220E-1,1.550848186E-1,8.479565382E-2,9.821640015E0,9.823230333E0
4.020640180E-1,1.591227055E-1,8.688937128E-2,9.824032784E0,9.825705569E0
4.046238620E-1,1.603191197E-1,8.419744670E-2,9.828518867E0,9.830186904E0
4.071837570E-1,1.613659710E-1,8.673982322E-2,9.835099220E0,9.836805348E0
4.097436530E-1,1.531406492E-1,7.971090078E-2,9.831509590E0,9.833025308E0
4.123036530E-1,1.522433460E-1,7.971090078E-2,9.834501266E0,9.836002594E0
4.148638620E-1,1.514955908E-1,8.240283281E-2,9.834949493E0,9.836461390E0
4.174238620E-1,1.510469317E-1,8.479565382E-2,9.837941170E0,9.839466039E0
4.199837570E-1,1.529911011E-1,8.943174779E-2,9.840632439E0,9.842227954E0
4.225435490E-1,1.549352705E-1,9.346963465E-2,9.840632439E0,9.842295886E0
4.251031320E-1,1.544866115E-1,9.960123897E-2,9.840782166E0,9.842498674E0
4.276626640E-1,1.446162164E-1,9.586245567E-2,9.831809044E0,9.833339846E0
4.302224550E-1,1.447657645E-1,1.010967568E-1,9.832406998E0,9.833992325E0
4.327827160E-1,1.425224990E-1,1.033400297E-1,9.830761909E0,9.832338051E0
4.353431320E-1,1.383350641E-1,1.031904742E-1,9.829416275E0,9.830931246E0
4.379036530E-1,1.396810263E-1,1.030409262E-1,9.828369141E0,9.829901738E0
4.404641740E-1,1.432702541E-1,1.006481051E-1,9.825228691E0,9.826788653E0
4.430243820E-1,1.441675574E-1,9.885348380E-2,9.820143700E0,9.821699373E0
4.455847470E-1,1.356431395E-1,9.017950296E-2,9.811170578E0,9.812522587E0
4.481451120E-1,1.368395388E-1,8.898308873E-2,9.809675217E0,9.811033121E0
4.507052680E-1,1.380359530E-1,9.047860652E-2,9.810872078E0,9.812260251E0
4.532654240E-1,1.392323673E-1,8.703892678E-2,9.809526443E0,9.810900594E0
4.558254240E-1,1.380359530E-1,8.180462569E-2,9.811021805E0,9.812333809E0
4.583854760E-1,1.369891018E-1,7.971090078E-2,9.817152977E0,9.818432279E0
4.609456320E-1,1.387837082E-1,7.806584239E-2,9.820293427E0,9.821584301E0
4.635058930E-1,1.308574826E-1,6.729813665E-2,9.816105843E0,9.817208699E0
4.660661010E-1,1.328016520E-1,6.655038148E-2,9.821190834E0,9.822314118E0
4.686262570E-1,1.344467252E-1,6.355935335E-2,9.825677872E0,9.826803211E0
4.711863090E-1,1.336989701E-1,6.355935335E-2,9.829715729E0,9.830830408E0
4.737464140E-1,1.378864050E-1,6.595217437E-2,9.833454132E0,9.834641962E0
4.763065700E-1,1.417747438E-1,6.595217437E-2,9.836894035E0,9.838136715E0
4.788663620E-1,1.452144235E-1,6.355935335E-2,9.837491989E0,9.838769011E0
