"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.102843760E-1,6.176473573E-2,1.015454084E-1,9.866206169E0,9.866922039E0
2.128459380E-1,5.817550048E-2,1.087238789E-1,9.867701530E0,9.868471957E0
2.154077090E-1,5.503492057E-2,1.126122177E-1,9.866654396E0,9.867450498E0
2.179694800E-1,5.249254778E-2,1.163510010E-1,9.868149757E0,9.868975259E0
2.205310950E-1,5.039882660E-2,1.172483116E-1,9.872187614E0,9.873012484E0
2.230925530E-1,4.157529399E-2,1.111166999E-1,9.868748665E0,9.869461770E0
2.256541680E-1,4.501497746E-2,1.096211895E-1,9.869496346E0,9.870207762E0
2.282157820E-1,4.815555736E-2,1.061815023E-1,9.868000984E0,9.868689725E0
2.307776050E-1,5.099703372E-2,1.031904742E-1,9.873982430E0,9.874653310E0
2.333397930E-1,5.353940651E-2,1.006481051E-1,9.876974106E0,9.877632003E0
2.359024490E-1,5.593222752E-2,9.870393574E-2,9.879665375E0,9.880316736E0
2.384652610E-1,5.817550048E-2,9.690931439E-2,9.884600639E0,9.885246866E0
2.410280220E-1,5.324030295E-2,9.107681364E-2,9.881908417E0,9.882471527E0
2.435909900E-1,5.279165134E-2,8.973085135E-2,9.885947227E0,9.886495394E0
2.461539590E-1,5.742774159E-2,9.107681364E-2,9.887143135E0,9.887729381E0
2.487165110E-1,5.907280743E-2,9.227322042E-2,9.888339996E0,9.888946952E0
2.512788550E-1,6.296114624E-2,9.601201117E-2,9.889535904E0,9.890202364E0
2.538413030E-1,6.430710852E-2,9.451649338E-2,9.892975807E0,9.893636293E0
2.564038030E-1,6.311069429E-2,9.092725813E-2,9.898658752E0,9.899277540E0
2.589663030E-1,5.757729337E-2,8.584251255E-2,9.899106979E0,9.899646613E0
2.615287510E-1,5.892325938E-2,8.509475738E-2,9.905687332E0,9.906228071E0
2.640911470E-1,5.787639692E-2,7.986045629E-2,9.909276962E0,9.909767771E0
2.666537510E-1,5.952146277E-2,7.298108935E-2,9.907631874E0,9.908079450E0
2.692167200E-1,5.862415582E-2,6.954140961E-2,9.906435013E0,9.906852551E0
2.717796360E-1,5.802594870E-2,7.133602351E-2,9.902996063E0,9.903422987E0
2.743425530E-1,5.518447235E-2,7.313064486E-2,9.900154114E0,9.900578008E0
2.769056780E-1,4.591228440E-2,7.013961673E-2,9.890881538E0,9.891236784E0
2.794689070E-1,4.636093974E-2,7.851449400E-2,9.886545181E0,9.886965636E0
2.820320320E-1,5.174478889E-2,8.374879509E-2,9.882955551E0,9.883445847E0
2.845951570E-1,5.413761362E-2,8.838488907E-2,9.882207870E0,9.882751397E0
2.871583340E-1,5.383851007E-2,9.002995491E-2,9.881759644E0,9.882316410E0
2.897213550E-1,5.383851007E-2,9.182456881E-2,9.883852959E0,9.884426116E0
2.922842200E-1,5.398806185E-2,9.092725813E-2,9.885797501E0,9.886363067E0
2.948469280E-1,4.965107143E-2,8.584251255E-2,9.875926971E0,9.876424845E0
2.974095840E-1,5.204389244E-2,8.748757839E-2,9.875777245E0,9.876301880E0
2.999722930E-1,4.935196787E-2,8.913264424E-2,9.875926971E0,9.876452490E0
3.025354700E-1,4.965107143E-2,9.062815458E-2,9.873683929E0,9.874224680E0
3.050989590E-1,5.249254778E-2,9.212367237E-2,9.869496346E0,9.870065874E0
3.076621880E-1,5.503492057E-2,9.601201117E-2,9.865906715E0,9.866527376E0
3.102248970E-1,5.742774159E-2,9.705886990E-2,9.863065720E0,9.863710446E0
3.127873970E-1,5.488536879E-2,8.868399262E-2,9.858280182E0,9.858831848E0
3.153500010E-1,5.667998642E-2,8.763712645E-2,9.860523224E0,9.861075557E0
3.179125530E-1,5.593222752E-2,8.449655026E-2,9.864859581E0,9.865380005E0
3.204755740E-1,5.533402413E-2,8.180462569E-2,9.876076698E0,9.876570498E0
3.230390110E-1,5.503492057E-2,7.956135273E-2,9.883553505E0,9.884026949E0
3.256022400E-1,5.967101455E-2,8.015955985E-2,9.885348320E0,9.885853407E0
3.281652610E-1,6.146563217E-2,8.315058798E-2,9.884750366E0,9.885291187E0
3.307280740E-1,5.608177930E-2,7.657032460E-2,9.877422333E0,9.877878321E0
3.332906780E-1,6.011966988E-2,7.223333418E-2,9.872337341E0,9.872784643E0
3.358533860E-1,5.892325938E-2,6.864409894E-2,9.865608215E0,9.866022979E0
3.384161990E-1,6.041877344E-2,6.789634377E-2,9.859925270E0,9.860344146E0
3.409790110E-1,5.937191099E-2,6.744768471E-2,9.852746010E0,9.853155746E0
3.435421880E-1,6.116652861E-2,6.954140961E-2,9.848857880E0,9.849293319E0
3.461054180E-1,5.787639692E-2,6.909275055E-2,9.840782166E0,9.841194903E0
3.486686990E-1,5.069793016E-2,6.430710852E-2,9.827023506E0,9.827364686E0
3.512318240E-1,5.054837838E-2,6.625127792E-2,9.823433876E0,9.823787329E0
3.537949490E-1,4.815555736E-2,7.058826834E-2,9.822835922E0,9.823207583E0
3.563581780E-1,4.621138796E-2,7.447660714E-2,9.817750931E0,9.818142166E0
3.589210950E-1,4.935196787E-2,7.791628689E-2,9.815807343E0,9.816240642E0
3.614836470E-1,4.755735025E-2,8.344969153E-2,9.816555023E0,9.817024910E0
3.640463550E-1,4.606183618E-2,8.614161611E-2,9.819695473E0,9.820181325E0
3.666091150E-1,3.783650696E-2,7.911270112E-2,9.815657616E0,9.816049350E0
3.691717200E-1,3.933202103E-2,8.404789865E-2,9.818349838E0,9.818788347E0
3.717346360E-1,4.067798331E-2,8.853443712E-2,9.820892334E0,9.821375631E0
3.742976570E-1,4.456632212E-2,8.778668195E-2,9.820742607E0,9.821236074E0
3.768604700E-1,4.785645381E-2,8.958129585E-2,9.823135376E0,9.823660400E0
3.794232300E-1,4.860420898E-2,9.137591720E-2,9.830163956E0,9.830708790E0
3.819859900E-1,4.935196787E-2,9.062815458E-2,9.834052086E0,9.834593510E0
3.845487510E-1,4.561318085E-2,8.539386094E-2,9.835398674E0,9.835875139E0
3.871114590E-1,4.606183618E-2,8.479565382E-2,9.842875481E0,9.843348502E0
3.896743760E-1,4.666004330E-2,8.434699476E-2,9.849455833E0,9.849927502E0
3.922371880E-1,4.725824669E-2,8.404789865E-2,9.852895737E0,9.853367535E0
3.947997400E-1,4.800600559E-2,8.404789865E-2,9.851400375E0,9.851875861E0
3.973619800E-1,4.860420898E-2,8.644071966E-2,9.852447510E0,9.852946580E0
3.999240630E-1,4.935196787E-2,8.629116416E-2,9.858280182E0,9.858781361E0
4.024861990E-1,4.561318085E-2,7.686942816E-2,9.859027863E0,9.859433040E0
4.050484380E-1,4.606183618E-2,7.971090078E-2,9.865906715E0,9.866336242E0
4.076103650E-1,4.905286431E-2,7.986045629E-2,9.869646072E0,9.870091057E0
4.101721880E-1,5.174478889E-2,8.255238086E-2,9.870542526E0,9.871023360E0
4.127341150E-1,5.667998642E-2,8.270192891E-2,9.873982430E0,9.874491443E0
4.152961470E-1,6.116652861E-2,8.524430543E-2,9.874580383E0,9.875137755E0
4.178585430E-1,6.505486369E-2,8.763712645E-2,9.872936249E0,9.873539516E0
4.204211990E-1,5.697908998E-2,8.285148442E-2,9.862318039E0,9.862830633E0
4.229837510E-1,6.071787328E-2,8.494520187E-2,9.859176636E0,9.859729524E0
4.255461470E-1,6.191428751E-2,8.449655026E-2,9.856485367E0,9.857041992E0
4.281090110E-1,6.535396725E-2,8.659026772E-2,9.856783867E0,9.857380850E0
4.306719800E-1,6.864409894E-2,8.629116416E-2,9.859476089E0,9.860092643E0
4.332347400E-1,7.148557901E-2,8.838488907E-2,9.862018585E0,9.862673707E0
4.357972400E-1,7.178468257E-2,9.272187948E-2,9.866654396E0,9.867351183E0
4.383598450E-1,6.281159073E-2,8.733802289E-2,9.863963127E0,9.864549751E0
4.409226570E-1,6.116652861E-2,8.883354068E-2,9.870094299E0,9.870683574E0
4.434851050E-1,5.982056633E-2,9.032905847E-2,9.873384476E0,9.873978876E0
4.460475010E-1,5.877370760E-2,9.167502075E-2,9.876225471E0,9.876825817E0
4.486103650E-1,6.041877344E-2,9.062815458E-2,9.874132156E0,9.874732894E0
4.511733340E-1,6.206383556E-2,8.988039941E-2,9.872337341E0,9.872941557E0
4.537360950E-1,6.340979785E-2,8.928219229E-2,9.870991707E0,9.871599130E0
4.562989590E-1,5.309075117E-2,8.195417374E-2,9.858130455E0,9.858614060E0
4.588620320E-1,5.264209956E-2,8.419744670E-2,9.853195190E0,9.853695543E0
4.614250010E-1,5.488536879E-2,8.853443712E-2,9.848857880E0,9.849408728E0
4.639879700E-1,5.204389244E-2,9.257232398E-2,9.842875481E0,9.843448376E0
4.665509380E-1,4.965107143E-2,9.616155922E-2,9.837791443E0,9.838386694E0
4.691136990E-1,4.785645381E-2,9.945169091E-2,9.835697174E0,9.836316372E0
4.716765110E-1,4.621138796E-2,1.001994461E-1,9.831809044E0,9.832428210E0
4.742395320E-1,3.798605874E-2,9.376873821E-2,9.826275826E0,9.826796636E0
4.768019800E-1,3.948157281E-2,9.212367237E-2,9.827621460E0,9.828132535E0
4.793643240E-1,3.858426586E-2,9.317053109E-2,9.824181557E0,9.824699118E0
4.819269800E-1,4.262215272E-2,9.182456881E-2,9.823583603E0,9.824105211E0
4.844896360E-1,4.621138796E-2,8.838488907E-2,9.823285103E0,9.823791406E0
4.870522400E-1,4.950151965E-2,8.778668195E-2,9.823135376E0,9.823652351E0
4.896149490E-1,5.264209956E-2,8.748757839E-2,9.825528145E0,9.826058650E0
4.921779180E-1,4.591228440E-2,8.030910790E-2,9.820742607E0,9.821178282E0
4.947407820E-1,4.636093974E-2,8.030910790E-2,9.820443153E0,9.820880949E0
4.973032820E-1,4.695914313E-2,8.045866340E-2,9.822537422E0,9.822979190E0
4.998656260E-1,4.995017126E-2,8.075776696E-2,9.824630737E0,9.825089616E0
5.024280740E-1,5.024927482E-2,8.344969153E-2,9.824181557E0,9.824664478E0
5.049905740E-1,4.830510542E-2,8.838488907E-2,9.821490288E0,9.822006758E0
5.075529180E-1,4.905286431E-2,9.272187948E-2,9.821788788E0,9.822348931E0
5.101151570E-1,4.292125627E-2,8.973085135E-2,9.815059662E0,9.815563663E0
5.126773970E-1,4.142574221E-2,9.332008660E-2,9.817750931E0,9.818281829E0
5.152396360E-1,4.247260094E-2,9.900303930E-2,9.820293427E0,9.820884304E0
5.178019800E-1,4.366901144E-2,1.040877849E-1,9.820293427E0,9.820942125E0
5.203645840E-1,4.247260094E-2,1.039382368E-1,9.820443153E0,9.821085012E0
5.229271880E-1,4.621138796E-2,1.037886813E-1,9.818200111E0,9.818857419E0
5.254897400E-1,4.965107143E-2,1.063310578E-1,9.816405296E0,9.817106726E0
5.280526050E-1,4.815555736E-2,9.915258735E-2,9.803094864E0,9.803714556E0
5.306156260E-1,5.084748194E-2,9.690931439E-2,9.805039406E0,9.805650138E0
5.331785430E-1,5.309075117E-2,9.257232398E-2,9.804441452E0,9.805022205E0
5.357411990E-1,5.533402413E-2,8.644071966E-2,9.806385040E0,9.806922117E0
5.383035950E-1,5.503492057E-2,8.120641857E-2,9.808179855E0,9.808670420E0
5.408658340E-1,5.488536879E-2,7.686942816E-2,9.807432175E0,9.807886988E0
5.434277610E-1,5.249254778E-2,7.313064486E-2,9.806983948E0,9.807397091E0
5.459896360E-1,4.591228440E-2,7.013961673E-2,9.799804688E0,9.800163234E0
5.485516680E-1,4.636093974E-2,7.627122104E-2,9.799655914E0,9.800062381E0
5.511139070E-1,5.159523711E-2,8.165507019E-2,9.799655914E0,9.800131920E0
5.536763030E-1,5.638088286E-2,8.419744670E-2,9.802198410E0,9.802722157E0
5.562385950E-1,6.311069429E-2,8.883354068E-2,9.799804688E0,9.800410515E0
5.588008340E-1,6.669992954E-2,9.541380405E-2,9.797711372E0,9.798402972E0
5.613633860E-1,7.238288224E-2,9.900303930E-2,9.796216011E0,9.796983669E0
5.639262510E-1,6.819544733E-2,9.272187948E-2,9.787840843E0,9.788517576E0
5.664890630E-1,7.058826834E-2,8.883354068E-2,9.786793709E0,9.787451415E0
5.690515110E-1,7.283154130E-2,9.032905847E-2,9.790832520E0,9.791520066E0
5.716140110E-1,7.507480681E-2,9.167502075E-2,9.796813965E0,9.797530525E0
5.741765110E-1,7.462615520E-2,9.780662507E-2,9.799954414E0,9.800726592E0
5.767388030E-1,7.208377868E-2,1.033400297E-1,9.802646637E0,9.803456346E0
5.793013030E-1,6.984051317E-2,1.058823988E-1,9.802796364E0,9.803616951E0
5.818638550E-1,6.101697683E-2,9.885348380E-2,9.798459053E0,9.799147662E0
5.844264590E-1,5.727819353E-2,9.885348380E-2,9.800851822E0,9.801517701E0
5.869892720E-1,5.398806185E-2,1.015454084E-1,9.803244591E0,9.803919149E0
5.895525010E-1,5.368895829E-2,1.015454084E-1,9.805338860E0,9.806011632E0
5.921156260E-1,5.353940651E-2,1.039382368E-1,9.807282448E0,9.807979335E0
5.946785950E-1,5.608177930E-2,1.063310578E-1,9.813862801E0,9.814599051E0
5.972415630E-1,5.578267947E-2,1.060319543E-1,9.819845200E0,9.820576064E0
5.998043760E-1,4.875376076E-2,1.037886813E-1,9.815657616E0,9.816327391E0
6.023671360E-1,4.890331253E-2,1.079761237E-1,9.818349838E0,9.819065328E0
6.049300010E-1,4.920241609E-2,1.094716340E-1,9.823285103E0,9.824018278E0
6.074928650E-1,4.950151965E-2,1.060319543E-1,9.832406998E0,9.833103302E0
6.100555220E-1,5.219344422E-2,1.007976532E-1,9.845417976E0,9.846072286E0
6.126181260E-1,5.488536879E-2,9.646066278E-2,9.854391098E0,9.855016031E0
6.151807300E-1,5.712864175E-2,9.017950296E-2,9.860074043E0,9.860651914E0
6.177431780E-1,5.234299600E-2,7.791628689E-2,9.860523224E0,9.860969982E0
6.203057300E-1,5.443671346E-2,7.342974842E-2,9.864859581E0,9.865283059E0
6.228683340E-1,5.398806185E-2,7.208377868E-2,9.866206169E0,9.866617199E0
6.254307300E-1,5.129613727E-2,7.567301393E-2,9.865308762E0,9.865732343E0
6.279930740E-1,4.666004330E-2,7.671987265E-2,9.866953850E0,9.867362432E0
6.305555740E-1,4.037888348E-2,7.761718333E-2,9.868449211E0,9.868837050E0
6.331181780E-1,3.499503061E-2,7.612167299E-2,9.872337341E0,9.872692831E0
6.356811470E-1,2.572284266E-2,7.043872029E-2,9.866504669E0,9.866789633E0
6.382440110E-1,2.632104978E-2,7.402794808E-2,9.862915993E0,9.863228924E0
6.408067200E-1,2.706880681E-2,7.731807977E-2,9.859775543E0,9.860115850E0
6.433694280E-1,3.005983494E-2,7.567301393E-2,9.857233047E0,9.857569343E0
6.459319800E-1,3.529413417E-2,7.657032460E-2,9.854990005E0,9.855350663E0
6.484947930E-1,3.753740340E-2,7.746763527E-2,9.853344917E0,9.853720939E0
6.510577610E-1,3.978067636E-2,7.851449400E-2,9.849605560E0,9.849998818E0
6.536206260E-1,3.708875179E-2,7.013961673E-2,9.839286804E0,9.839606697E0
